id,oracle_precision,oracle_recall,gui_precision,gui_recall,gui_tps,gui_fps,gui_fns,gui_tns,oracle_tps,oracle_fps,oracle_fns,oracle_tns,Success,Reduction
c2-t2-a21-a22,1.0,1.0,1.0,1.0,4,0,0,0,2,0,0,0,,
c2-t2-a21-a23,1.0,1.0,1.0,1.0,4,0,0,0,2,0,0,0,,
c2-t2-a21-a25,1.0,1.0,1.0,1.0,4,0,0,0,2,0,0,0,,
c2-t2-a22-a21,1.0,1.0,0.8,1.0,4,1,0,0,2,0,0,0,,
c2-t2-a22-a23,0.0,divisible by zero,0.0,0.0,0,3,1,0,0,1,0,0,,
c2-t2-a22-a25,1.0,1.0,0.8,1.0,4,1,0,0,2,0,0,0,,
c2-t2-a23-a22,1.0,1.0,1.0,1.0,5,0,0,1,2,0,0,0,,
c2-t2-a23-a21,1.0,1.0,0.8,1.0,4,1,0,1,2,0,0,0,,
c2-t2-a23-a25,1.0,1.0,0.6,1.0,3,2,0,1,2,0,0,0,,
c2-t2-a25-a22,1.0,1.0,1.0,1.0,4,0,0,0,2,0,0,0,,
c2-t2-a25-a21,1.0,1.0,1.0,1.0,4,0,0,0,2,0,0,0,,
c2-t2-a25-a23,1.0,1.0,1.0,1.0,4,0,0,0,2,0,0,0,,
